TableScan_Join,1,30,26,26,720,5,231
TableScan_Join,1,2347,2347,2347,398100,2342,418410
TableScan_Select,1,2342,102,200,35512,100,17836
TableScan_Join,1,5000000,4003980,4003980,120104760,15920,754625
TableScan_Join,1,65920,65920,65920,8356233,15920,2866366
TableScan_Join,1,606703,606703,606703,18759415,2342,399494
TableScan_Join,1,30,26,26,518,5,186
TableScan_Join,1,50005,50005,50005,1099708,9998,201952
TableScan_Join,1,4009998,4009998,4009998,123916296,799840,23371856
TableScan_Deux,1,1799840,1799840,1799840,39595680,590783,17264595
TableScan_Join,1,30,26,26,720,5,231
TableScan_Join,1,4677,4677,4677,795382,4672,836201
TableScan_Select,1,4672,102,200,35668,100,17871
TableScan_Join,2,10000000,8007861,8007861,242993914,31444,1502331
TableScan_Join,1,131444,131444,131444,16683911,31444,5651969
TableScan_Join,1,1214542,1214542,1214542,37480095,4672,798246
TableScan_Join,1,30,26,26,518,5,186
TableScan_Join,1,100005,100005,100005,2234173,20033,411688
TableScan_Join,2,8020033,8020033,8020033,248096926,1602640,46884172
TableScan_Deux,1,3602640,3602640,3602640,79271280,1183098,34613305
TableScan_Join,1,30,26,26,720,5,231
TableScan_Join,1,11591,11591,11591,1974098,11585,2075119
TableScan_Select,1,11585,102,200,35880,100,17787
TableScan_Join,4,25000000,20019926,20019926,615404124,79704,3841984
TableScan_Join,1,329704,329704,329704,41774410,79704,14365994
TableScan_Join,1,3030536,3030536,3030536,93743818,11586,1981268
TableScan_Join,1,30,26,26,518,5,186
TableScan_Join,1,250005,250005,250005,5684173,49996,1047151
TableScan_Join,4,20049996,20049996,20049996,620636260,3999680,117095422
TableScan_Deux,1,8999680,8999680,8999680,197991360,2950832,86390187
TableScan_Join,1,30,26,26,720,5,231
TableScan_Join,1,23500,23500,23500,4012217,23495,4216255
TableScan_Select,1,23495,102,200,35539,100,17930
TableScan_Join,7,50000000,40039771,40039771,1236078854,159084,7690325
TableScan_Join,1,659084,659084,659084,83555514,159084,28657996
TableScan_Join,1,6078593,6078593,6078593,187895799,23495,4026918
TableScan_Join,1,30,26,26,518,5,186
TableScan_Join,1,500005,500005,500005,11434173,100324,2114519
TableScan_Join,7,40100324,40100324,40100324,1241542164,8025920,235023839
TableScan_Deux,2,18025920,18025920,18025920,396699840,5919509,173342218
